iter	Passed	Remaining
803	37626	9172
804	37675	9126
805	37717	9078
806	37758	9030
807	37801	8982
808	37843	8934
809	37887	8887
810	37928	8839
811	37973	8791
812	38022	8745
813	38067	8698
814	38109	8650
815	38154	8603
816	38199	8556
817	38245	8509
818	38290	8462
819	38334	8414
820	38378	8367
821	38421	8319
822	38467	8273
823	38511	8225
824	38552	8177
825	38595	8130
826	38639	8083
827	38683	8035
828	38727	7988
829	38769	7940
830	38814	7893
831	38857	7846
832	38896	7797
833	38938	7750
834	38980	7702
835	39020	7654
836	39062	7607
837	39106	7559
838	39148	7512
839	39188	7464
840	39232	7417
841	39270	7368
842	39313	7321
843	39354	7274
844	39395	7226
845	39441	7179
846	39482	7132
847	39524	7084
848	39566	7037
849	39609	6989
850	39654	6942
851	39694	6895
852	39737	6848
853	39774	6799
854	39822	6753
855	39863	6706
856	39906	6658
857	39945	6611
858	39986	6563
859	40027	6516
860	40069	6468
861	40112	6421
862	40152	6374
863	40193	6326
864	40237	6279
865	40279	6232
866	40317	6184
867	40359	6137
868	40403	6090
