Nama Waran,Nama Penerbit,Tipe,Bid Dasar (Rp),Harga Pelaksanaan (Rp),Rasio Pelaksanaan,Tanggal Kedaluwarsa,Sensitivitas Waran (Tick),Efek Pengungkit (x),Volatilitas Tersirat (%),Jarak Waktu Kedaluwarsa (hari),Delta (%),Premi (%),Theta (Rp),Nilai Intrinsik,Volume Bid ('00),Harga Bid (Rp),Harga Ask (Rp),Volume Ask ('00),Volume Transaksi ('00),Perubahan Harga (%)
ESSAZPCK6A,Maybank,CALL,615,720,8.0000,25 May 26,3.4,3.6,86.9,101,47.4,30.1,-0.0754,17% OTM,50000,10,16,50504,20,0
ESSAZPCQ6A,Maybank,CALL,615,680,8.0000,31 Aug 26,2.9,3.1,69.7,199,56.1,28.8,-0.0460,11% OTM,0,14,0,0,0,0
EXCLBQCQ6A,KISI,CALL,3010,4500,15.0000,31 Aug 26,2.9,2.2,122.4,199,52.3,73.4,-0.1947,50% OTM,0,48,0,0,0,+2.1
EXCLHDCJ6A,KGI,CALL,3010,3035,5.6700,14 Apr 26,1.0,6.7,49.7,60,55.1,9.1,-0.4105,1% OTM,34145,44,18,33000,170,+7.3
EXCLZPCM6A,Maybank,CALL,3010,2833,14.1661,30 Jun 26,2.1,3.5,60.2,137,66.8,12.9,-0.1275,6% ITM,5000,40,23,5000,1,+5.3
EXCLZPCN6A,Maybank,CALL,3010,2550,14.1661,31 Jul 26,1.8,3.2,51.9,168,77.6,8.7,-0.0931,15% ITM,0,51,0,0,0,+4.1
GGRMZPCG6A,Maybank,CALL,16200,9227,37.8552,27 Feb 26,1.5,2.3,150.9,14,98.0,0.4,-0.2691,43% ITM,0,186,0,0,990,-1.1
GJTLZPCJ6A,Maybank,CALL,1075,1080,10.0000,30 Apr 26,3.4,4.2,73.9,76,58.2,14.4,-0.1041,0% OTM,30000,15,19,30000,10,0
GOTOBQCJ6A,KISI,CALL,59,68,2.0000,30 Apr 26,4.1,3.6,101.3,76,48.5,28.8,-0.0382,15% OTM,30000,4,8,235012,2425,0
GOTOBQCQ6A,KISI,CALL,59,80,2.0000,28 Aug 26,3.9,2.5,101.3,196,50.9,55.9,-0.0244,36% OTM,0,6,0,0,0,0
GOTODRCN6A,RHB,CALL,59,62,1.2000,2 Jul 26,1.9,2.2,120.9,139,63.7,33.6,-0.0535,5% OTM,0,14,0,0,0,0
GOTOHDCK6A,KGI,CALL,59,59,1.0000,25 May 26,1.6,3.3,84.9,101,60.9,18.6,-0.0559,0% ATM,50002,11,14,50215,2,0
GOTOZPCH6A,Maybank,CALL,59,50,1.0000,31 Mar 26,1.4,2.7,139.2,46,72.7,11.9,-0.1116,15% ITM,0,16,0,0,2,0
GOTOZPCK6A,Maybank,CALL,59,64,1.5000,25 May 26,2.6,2.8,108.8,101,57.3,28.8,-0.0471,8% OTM,51892,8,11,50000,0,0
